Elton John,Candle in the Wind '97
Cher,Believe
Michael Jackson,Billie Jean
Michael Jackson,Black Or White
Michael Jackson,Beat It
Elton John,Crocodile Rock
Michael Jackson,You Are Not Alone
Michael Jackson,Don't Stop 'Til You Get Enough
Elton John,Something About the Way You look Tonight
Elton John,Goodbye Yellow Brick Road
Michael Jackson,Thriller
Elton John,Can You Feel the Love Tonight
Elton John,Nikita
Michael Jackson,Bad
Michael Jackson,Remember the Time
Elton John,Philadelphia Freedom
Elton John,Daniel
Michael Jackson,Ben
Michael Jackson,Blood on the Dance Floor
Michael Jackson,Earth Song
Michael Jackson,The Way You Make Me Feel
Michael Jackson,Dirty Diana
Elton John,Your Song
Cher,If I Could Turn Back Time
Michael Jackson,They Don't Care About Us
Elton John,Bennie & the Jets
Michael Jackson,You Rock My World
Elton John,The One
Cher,The Shoop Shoop Song (It's in His Kiss)
Michael Jackson,Man in the Mirror
Michael Jackson,Rock With You
Elton John,Rocket Man
Elton John,Believe
Cher,Bang Bang (My Baby Shot Me Down)
Elton John,Little Jeannie
Elton John,Sacrifice
Elton John,Island Girl
Elton John,Lucy in the Sky With Diamonds
Cher,"Gypsies, Tramps & Thieves"
Elton John,Don't Let the Sun Go Down On Me
Michael Jackson,Heal the World
Michael Jackson,Wanna Be Startin' Something
Michael Jackson,Smooth Criminal
Elton John,I Don't Wanna Go On With You Like That
Elton John,I'm Still Standing
Cher,Strong Enough
Michael Jackson,One Day in Your Life
Michael Jackson,Will You Be There?
Elton John,Circle of Life
Cher,Half-breed
Cher,Dark Lady
Elton John,Someone Saved My Life Tonight
Michael Jackson,In the Closet
Elton John,You Gotta Love Someone
Michael Jackson,Off the Wall
Elton John,I Guess That's Why They Call it the Blues
Elton John,The Bitch is Back
Michael Jackson,Got to Be There
Elton John,Sorry Seems to Be the Hardest Word
Elton John,Blue Eyes
Michael Jackson,Give in to Me
Elton John,Sad Songs (Say So Much)
Michael Jackson,Leave Me Alone
Michael Jackson,Stranger in Moscow
Michael Jackson,One More Chance
Michael Jackson,Who is It
Elton John,Empty Garden (Hey Hey Johnny)
